date,usage
2019-05-01,2206
2019-05-02,6523
2019-05-03,7274
2019-05-04,10629
2019-05-05,8084
2019-05-06,6577
2019-05-07,5783
2019-05-08,5292
2019-05-09,4312
2019-05-10,6529
2019-05-11,7810
2019-05-12,7355
2019-05-13,5208
2019-05-14,5296
2019-05-15,4303
2019-05-16,4556
2019-05-17,10932
2019-05-18,12719
2019-05-19,9493
2019-05-20,6083
2019-05-21,4748
2019-05-22,5071
2019-05-23,5678
2019-05-24,8882
2019-05-25,14771
2019-05-26,15084
2019-05-27,10075
2019-05-28,5740
2019-05-29,4515
2019-05-30,5306
2019-05-31,7669
2019-06-01,12262
2019-06-02,10949
2019-06-03,6296
2019-06-04,5838
2019-06-05,6155
2019-06-06,7140
2019-06-07,5733
2019-06-08,13644
2019-06-09,9973
2019-06-10,5824
2019-06-11,5103
2019-06-12,5377
2019-06-13,5846
2019-06-14,8201
2019-06-15,11228
2019-06-16,9457
2019-06-17,5957
2019-06-18,3635
2019-06-19,5382
2019-06-20,4246
2019-06-21,6254
2019-06-22,6447
2019-06-23,6092
2019-06-24,3504
2019-06-25,4841
2019-06-26,4674
2019-06-27,4378
2019-06-28,5890
2019-06-29,8378
2019-06-30,7277
2019-07-01,4360
2019-07-02,3129
2019-07-03,3333
2019-07-04,5414
2019-07-05,7865
2019-07-06,8076
2019-07-07,4860
2019-07-08,2836
2019-07-09,2544
2019-07-10,2352
2019-07-11,3102
2019-07-12,4553
2019-07-13,7978
2019-07-14,5926
2019-07-15,3302
2019-07-16,2889
2019-07-17,3030
2019-07-18,3319
2019-07-19,4892
2019-07-20,6658
2019-07-21,4700
2019-07-22,3012
2019-07-23,2821
2019-07-24,2911
2019-07-25,3396
2019-07-26,4914
2019-07-27,7362
2019-07-28,5414
2019-07-29,3682
2019-07-30,3240
2019-07-31,3090
2019-08-01,78
